no	symbol	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en	type
38	N12_sns	247	222	83	新生代 新第三紀 中新世 後期バーディガリアン期～前期ランギアン期前期	Cenozoic Neogene Miocene late Burdigalian - early Langhian	堆積岩	Sedimentary rocks	非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"non-marine sandstone, or alternation of sandstone & mudstone or sandstone & mudstone"	2
39	Pg4_sns	245	220	77	新生代 古第三紀 漸新世 チャッティアン期～新第三紀 中新世 アキタニアン期	Cenozoic Paleogene Oligocene Chattian - Neogene Miocene Aquitanian	堆積岩	Sedimentary rocks	非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"non-marine sandstone, or alternation of sandstone & mudstone or sandstone & mudstone"	3
40	Pg3_sns	243	218	71	新生代 古第三紀 漸新世 ルペリアン期	Cenozoic Paleogene Oligocene Rupelian	堆積岩	Sedimentary rocks	非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"non-marine sandstone, or alternation of sandstone & mudstone or sandstone & mudstone"	3
41	Pg2_sns	241	216	65	新生代 古第三紀 始新世 ルテシアン期～プリアボニアン期	Cenozoic Paleogene Eocene Lutetian - Priabonian	堆積岩	Sedimentary rocks	非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"non-marine sandstone, or alternation of sandstone & mudstone or sandstone & mudstone"	3
42	Pg1_sns	239	214	60	新生代 古第三紀 暁新世 ダニアン期～始新世 ヤプレシアン期	Cenozoic Paleogene Paleocene Danian - Eocene Ypresian	堆積岩	Sedimentary rocks	非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"non-marine sandstone, or alternation of sandstone & mudstone or sandstone & mudstone"	3
43	K22_snss	239	233	69	中生代 後期白亜紀 カンパニアン期～マーストリヒチアン期	Mesozoic Late Cretaceous Campanian - Maastrichtian	堆積岩	Sedimentary rocks	非海成層 砂岩	non-marine sandstone	3
44	K21_snss	238	233	62	中生代 後期白亜紀 セノマニアン期～サントニアン期	Mesozoic Late Cretaceous Cenomanian - Santonian	堆積岩	Sedimentary rocks	非海成層 砂岩	non-marine sandstone	3
45	K12_snss	237	233	55	中生代 前期白亜紀 アプチアン期～アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	堆積岩	Sedimentary rocks	非海成層 砂岩	non-marine sandstone	3
46	K11_snss	236	233	48	中生代 前期白亜紀 ベリアシアン期～バレミアン期	Mesozoic Early Cretaceous Berriasian - Barremian	堆積岩	Sedimentary rocks	非海成層 砂岩	non-marine sandstone	3
47	J3_snss	235	233	41	中生代 後期ジュラ紀	Mesozoic Late Jurassic	堆積岩	Sedimentary rocks	非海成層 砂岩	non-marine sandstone	3
48	J2_snss	234	233	34	中生代 中期ジュラ紀	Mesozoic Jurassic Middle	堆積岩	Sedimentary rocks	非海成層 砂岩	non-marine sandstone	3
49	J1_snss	233	233	27	中生代 前期ジュラ紀	Mesozoic Jurassic Early	堆積岩	Sedimentary rocks	非海成層 砂岩	non-marine sandstone	3
50	Tr22-3_snss	232	233	20	中生代 後期三畳紀 ラディニアン期～後期三畳紀	Mesozoic Late Triassic Ladinian - Late Triassic	堆積岩	Sedimentary rocks	非海成層 砂岩	non-marine sandstone	3
51	Tr1-21_snss	231	233	13	中生代 前期三畳紀～後期三畳紀 アニシアン期	Mesozoic Early Triassic - Late Triassic Anisian	堆積岩	Sedimentary rocks	非海成層 砂岩	non-marine sandstone	3
52	K22_snsmm	191	255	191	中生代 後期白亜紀 カンパニアン期～マーストリヒチアン期	Mesozoic Late Cretaceous Campanian - Maastrichtian	堆積岩	Sedimentary rocks	非海成層 砂岩・泥岩	non-marine sandstone & mudstone	3
53	K21_snsmm	187	251	187	中生代 後期白亜紀 セノマニアン期～サントニアン期	Mesozoic Late Cretaceous Cenomanian - Santonian	堆積岩	Sedimentary rocks	非海成層 砂岩・泥岩	non-marine sandstone & mudstone	3
54	K12_snsmm	183	247	183	中生代 前期白亜紀 アプチアン期～アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	堆積岩	Sedimentary rocks	非海成層 砂岩・泥岩	non-marine sandstone & mudstone	3
55	K11_snsmm	179	243	179	中生代 前期白亜紀 ベリアシアン期～バレミアン期	Mesozoic Early Cretaceous Berriasian - Barremian	堆積岩	Sedimentary rocks	非海成層 砂岩・泥岩	non-marine sandstone & mudstone	3
56	J3_snsmm	175	239	175	中生代 後期ジュラ紀	Mesozoic Late Jurassic	堆積岩	Sedimentary rocks	非海成層 砂岩・泥岩	non-marine sandstone & mudstone	3
57	J2_snsmm	171	235	171	中生代 中期ジュラ紀	Mesozoic Jurassic Middle	堆積岩	Sedimentary rocks	非海成層 砂岩・泥岩	non-marine sandstone & mudstone	3
58	J1_snsmm	167	231	167	中生代 前期ジュラ紀	Mesozoic Jurassic Early	堆積岩	Sedimentary rocks	非海成層 砂岩・泥岩	non-marine sandstone & mudstone	3
59	Tr22-3_snsmm	163	227	163	中生代 後期三畳紀 ラディニアン期～後期三畳紀	Mesozoic Late Triassic Ladinian - Late Triassic	堆積岩	Sedimentary rocks	非海成層 砂岩・泥岩	non-marine sandstone & mudstone	3
60	Tr1-21_snsmm	159	223	159	中生代 前期三畳紀～後期三畳紀 アニシアン期	Mesozoic Early Triassic - Late Triassic Anisian	堆積岩	Sedimentary rocks	非海成層 砂岩・泥岩	non-marine sandstone & mudstone	3
61	N3_snm	184	226	215	新生代 新第三紀 中新世 メッシニアン期～鮮新世	Cenozoic Neogene Miocene Messinian - Pliocene	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	2
62	N22_snm	175	218	214	新生代 新第三紀 中新世 後期サーラバリアン期～トートニアン期	Cenozoic Neogene Miocene late Serravallian - Tortonian	堆積岩	Sedimentary rocks	非海成層 泥岩	non-marine mudstone	2
